Date,ID,Stoping_Actual_t,Stoping_Actual_gpt,Stoping_Actual_kgs,Stoping_Budget_t,Stoping_Budget_gpt,Stoping_Budget_kgs
2025-07-11,6L_W1 STOPE,83.0,5.95,0.49385,70.0,3.137850467289719,0.21964953271028034
2025-07-11,6L_W14 STOPE,46.0,0.83,0.03818,70.0,1.7476635514018692,0.12233644859813084
2025-07-11,6L_W15_STOPE,112.0,3.42,0.38303999999999994,70.0,1.7476635514018692,0.12233644859813084
2025-07-11,6L_W2 STOPE,166.0,,0.36188000000000003,105.0,,0.24189252336448594
2025-07-11,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-11,6L_W4 STOPE,129.0,3.49,0.45021000000000005,70.0,2.3831775700934577,0.16682242990654203
2025-07-11,6L_W8 STOPE,,,,35.0,2.462616822429906,0.08619158878504672
2025-07-12,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-12,3L_W23A STOPE,79.0,4.01,0.31678999999999996,70.0,1.9859813084112148,0.13901869158878502
2025-07-12,3L_W23B STOPE,78.0,2.27,0.17706,70.0,1.9859813084112148,0.13901869158878502
2025-07-12,3L_W24B STOPE,37.0,0.99,0.03663,70.0,1.8271028037383175,0.12789719626168222
2025-07-12,4L_W26 STOPE,36.0,1.09,0.039240000000000004,70.0,1.9462616822429906,0.13623831775700931
2025-07-12,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-12,5L_W8 STOPE,68.0,3.8,0.25839999999999996,,,
2025-07-12,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-12,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-12,6L_W14 STOPE,36.0,2.28,0.08208,70.0,1.7476635514018692,0.12233644859813084
2025-07-12,6L_W15_STOPE,46.0,0.8,0.036800000000000006,70.0,1.7476635514018692,0.12233644859813084
2025-07-12,6L_W2 STOPE,70.0,,0.1526,105.0,,0.24189252336448594
2025-07-12,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-12,6L_W4 STOPE,151.0,2.44,0.36844,70.0,2.3831775700934577,0.16682242990654203
2025-07-12,6L_W8 STOPE,60.0,1.44,0.08639999999999999,35.0,2.462616822429906,0.08619158878504672
2025-07-13,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-13,3L_W23A STOPE,94.0,4.01,0.37694,70.0,1.9859813084112148,0.13901869158878502
2025-07-13,3L_W23B STOPE,88.0,2.27,0.19976,70.0,1.9859813084112148,0.13901869158878502
2025-07-13,3L_W24B STOPE,39.0,0.99,0.03861,70.0,1.8271028037383175,0.12789719626168222
2025-07-13,4L_W26 STOPE,64.0,1.09,0.06976,70.0,1.9462616822429906,0.13623831775700931
2025-07-13,5L_W11 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-13,5L_W8 STOPE,100.0,3.8,0.38,70.0,1.6682242990654204,0.11677570093457942
2025-07-13,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-13,6L_W1 STOPE,52.0,5.95,0.3094,70.0,3.137850467289719,0.21964953271028034
2025-07-13,6L_W14 STOPE,,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-13,6L_W15_STOPE,111.0,0.8,0.08880000000000002,70.0,1.7476635514018692,0.12233644859813084
2025-07-13,6L_W2 STOPE,190.0,,0.5529,105.0,,0.24189252336448594
2025-07-13,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-13,6L_W4 STOPE,95.0,2.44,0.23179999999999998,70.0,2.3831775700934577,0.16682242990654203
2025-07-13,6L_W8 STOPE,100.0,1.44,0.144,35.0,2.462616822429906,0.08619158878504672
2025-07-14,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-14,3L_W23A STOPE,82.0,1.6,0.1312,70.0,1.9859813084112148,0.13901869158878502
2025-07-14,3L_W23B STOPE,82.0,2.48,0.20335999999999999,70.0,1.9859813084112148,0.13901869158878502
2025-07-14,3L_W24B STOPE,52.0,2.47,0.12844,70.0,1.8271028037383175,0.12789719626168222
2025-07-14,4L_W26 STOPE,38.0,0.67,0.02546,70.0,1.9462616822429906,0.13623831775700931
2025-07-14,5L_W11 STOPE,56.0,1.57,0.08792,70.0,1.7476635514018692,0.12233644859813084
2025-07-14,5L_W8 STOPE,150.0,2.93,0.4395,70.0,1.6682242990654204,0.11677570093457942
2025-07-14,6L_E1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-14,6L_W1 STOPE,,,,70.0,3.137850467289719,0.21964953271028034
2025-07-14,6L_W14 STOPE,0,,,70.0,1.7476635514018692,0.12233644859813084
2025-07-14,6L_W15_STOPE,154.0,3.99,0.61446,70.0,1.7476635514018692,0.12233644859813084
2025-07-14,6L_W2 STOPE,186.0,,0.07068,105.0,,0.24189252336448594
2025-07-14,6L_W3 STOPE,,,,70.0,2.9,0.203
2025-07-14,6L_W4 STOPE,108.0,1.45,0.1566,70.0,2.3831775700934577,0.16682242990654203
2025-07-14,6L_W8 STOPE,98.0,1.4,0.1372,35.0,2.462616822429906,0.08619158878504672
2025-07-15,1L W28 STOPE,,,,70.0,1.350467289719626,0.09453271028037381
2025-07-15,3L_W23A STOPE,83.0,1.13,0.09379,70.0,1.9859813084112148,0.13901869158878502
2025-07-15,3L_W23B STOPE,105.0,2.48,0.26039999999999996,70.0,1.9859813084112148,0.13901869158878502
