DATE,LEVEL,SECTION,Unnamed: 3,LOCATION,SAMPLE TYPE,DISTANCE FROM PEG(m),DIRECTION,PEG ID,DEPTH (m),FROM,TO,SAMPLE WIDTH,SAMPLE ID,AU,STOPE .AV,SAMPLER,GEOTECH,Unnamed: 18,is_qaqc,ID
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,1,2.0,1.0,MM907002,5.203,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,2,3.0,1.0,MM907003,6.27,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,3,4.0,1.0,MM907004,8.23,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,4,5.0,1.0,MM907005,4.38,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,5,6.0,1.0,MM907006,2.097,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,6,7.0,1.0,MM907007,4.384,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,7,8.0,1.0,MM907008,0.583,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,8,9.0,1.0,MM907009,4.122,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W12,,CON-DRV,SCH,11.0,South,W12_OP,,9,10.0,1.0,MM907010,3.18,5.5579,,,,False,5L_W12_CON-DRV_South
2025-08-02,5L,W8,,SBL1,FLCH,2.0,East,W8-OP,,0,1.0,1.0,MM905347,2.11,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,2.0,East,W8-OP,,1,2.0,1.0,MM905348,2.16,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,2.0,East,W8-OP,,2,3.0,1.0,MM905349,13.63,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,2.0,East,W8-OP,FDUP,,,0.0,MM905350,2.26,7.486666666666666,,,,True,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,2.0,East,W8-OP,,3,4.0,1.0,MM905351,18.99,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,0,1.0,1.0,MM905352,15.06,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,1,2.0,1.0,MM905353,0.48,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,2,3.0,1.0,MM905354,1.15,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,BLANK,,,0.0,MM905355,0,7.486666666666666,,,,True,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,3,4.0,1.0,MM905356,5.27,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,5L,W8,,SBL1,FLCH,4.0,East,W8_OP,,4,5.0,1.0,MM905357,8.53,7.486666666666666,,,,False,5L_W8_SBL1_East
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,0,1.0,1.0,MM905358,1.08,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,1,2.0,1.0,MM905359,0.85,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,2,3.0,1.0,MM905360,3.2,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,0,1.0,1.0,MM905361,1.05,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,1,2.0,1.0,MM905362,5.27,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,4L,W25,,SBL1,FLCH,0.4,North,W25_OP,,2,3.0,1.0,MM905363,3.66,2.518333333333333,,,,False,4L_W25_SBL1_North
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,0,1.0,1.0,MM905364,0.53,1.4132,,,,False,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,STD UGHLG 004851,,,0.0,MM905365,1.11,1.4132,,,,True,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,1,2.0,1.0,MM905366,0.47,1.4132,,,,False,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,2,3.0,1.0,MM905367,0.51,1.4132,,,,False,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,3,4.0,1.0,MM905368,1.036,1.4132,,,,False,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,,4,5.0,1.0,MM905369,4.52,1.4132,,,,False,2L_W23_SBL1_East
2025-08-02,2L,W23,,SBL1,FLCH,2.0,East,W23_OP,FDUP,,,0.0,MM905370,0.32,1.4132,,,,True,2L_W23_SBL1_East
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,,0,1.0,1.0,MM905371,0.515,1.6131999999999997,,,,False,3L_W23_SBL2_South
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,,1,2.0,1.0,MM905372,1.148,1.6131999999999997,,,,False,3L_W23_SBL2_South
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,,2,3.0,1.0,MM905373,5.492,1.6131999999999997,,,,False,3L_W23_SBL2_South
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,,3,4.0,1.0,MM905374,0.52,1.6131999999999997,,,,False,3L_W23_SBL2_South
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,BLANK,,,0.0,MM905375,3.2,1.6131999999999997,,,,True,3L_W23_SBL2_South
2025-08-02,3L,W23,,SBL2,SCH,5.0,South,W23_OP,,4,5.0,1.0,MM905376,0.391,1.6131999999999997,,,,False,3L_W23_SBL2_South
2025-08-02,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,2.2,0,1.0,1.0,MM905261,1.57,1.27225,,,,False,6L_W8_C_SBL2_East
2025-08-02,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,2.2,1,2.0,1.0,MM905262,1.78,1.27225,,,,False,6L_W8_C_SBL2_East
2025-08-02,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,2.2,2,3.0,1.0,MM905263,1.65,1.27225,,,,False,6L_W8_C_SBL2_East
2025-08-02,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,2.2,3,4.0,1.0,MM905264,0.089,1.27225,,,,False,6L_W8_C_SBL2_East
2025-08-02,6L,W8,C,SBL2,FLCH,2.0,East,W8C_OP,STD 0925  1.04g/t,,,0.0,MM905265,1.03,1.27225,,,,True,6L_W8_C_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,18,0,1.0,1.0,MM905266,3.97,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,1,2.0,1.0,MM905267,2.44,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,2,3.0,1.0,MM905268,2.87,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,,3,4.0,1.0,MM905269,5.27,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,2.0,East,W4_OP,FDUP,,,0.0,MM905270,7.68,3.3287500000000003,,,,True,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,4.0,East,W4_OP,,0,1.0,1.0,MM905271,4.62,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,4.0,East,W4_OP,,1,2.0,1.0,MM905272,4.63,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,4.0,East,W4_OP,,2,3.0,1.0,MM905273,1.25,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,4.0,East,W4_OP,,3,4.0,1.0,MM905274,1.58,3.3287500000000003,,,,False,6L_W4_SBL2_East
2025-08-02,6L,W4,,SBL2,FLCH,4.0,East,W4_OP,BLANK,,,0.0,MM905275,0,3.3287500000000003,,,,True,6L_W4_SBL2_East
2025-08-02,6L,E1,B,SBL1,FLCH,1.2,East,E1_OP,17,0,1.0,1.0,MM905276,0.94,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,E1,B,SBL1,FLCH,1.2,East,E1_OP,,1,2.0,1.0,MM905277,4.67,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,E1,B,SBL1,FLCH,1.2,East,E1_OP,,2,3.0,1.0,MM905278,3.98,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,E1,B,SBL1,FLCH,3.2,East,E1_OP,17,0,1.0,1.0,MM905279,7.58,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,E1,B,SBL1,FLCH,3.2,East,E1_OP,,1,2.0,1.0,MM905280,4.09,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,E1,B,SBL1,FLCH,3.2,East,E1_OP,,2,3.0,1.0,MM905281,0.13,3.565,,,,False,6L_E1_B_SBL1_East
2025-08-02,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,0,1.0,1.0,MM905282,6.74,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,1,2.0,1.0,MM905283,7.85,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,,2,3.0,1.0,MM905284,3.88,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,2.0,West,W2_OP,STD 0925,,,0.0,MM905285,1.05,5.955555555555556,,,,True,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,0,1.0,1.0,MM905286,6.55,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,1,2.0,1.0,MM905287,8.45,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,2,3.0,1.0,MM905288,3.17,5.955555555555556,,,,False,6L_W2_SBL2_West
2025-08-02,6L,W2,,SBL2,FLCH,4.0,West,W2_OP,,0,1.0,1.0,MM905289,5.29,5.955555555555556,,,,False,6L_W2_SBL2_West
