Date,ID,Tramming_Actual_t,Tramming_Actual_gpt,Tramming_Actual_kgs,Tramming_Budget_t,Tramming_Budget_gpt,Tramming_Budget_kgs
2025-08-10,4L_W26 STOPE,258.0,0.86,0.22188,70.0,1.9462616822429906,0.13623831775700931
2025-08-10,5L_W11 STOPE,127.0,1.49,0.18922999999999998,70.0,1.7476635514018692,0.12233644859813084
2025-08-10,5L_W8 STOPE,62.0,2.07,0.12834,105.0,1.8271028037383175,0.19184579439252333
2025-08-10,6L_E1 STOPE,72.0,7.0,0.504,35.0,3.137850467289719,0.10982476635514017
2025-08-10,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-10,6L_W13 STOPE,30.0,4.39,0.13169999999999998,35.0,1.9859813084112148,0.06950934579439251
2025-08-10,6L_W15_STOPE,30.0,0.57,0.017099999999999997,70.0,1.7476635514018692,0.12233644859813084
2025-08-10,6L_W18_STOPE,,1.61,0.0,70.0,2.7803738317757007,0.19462616822429904
2025-08-10,6L_W2 STOPE,106.0,2.35,0.24910000000000002,140.0,2.542056074766355,0.3558878504672897
2025-08-10,6L_W3 STOPE,131.0,5.51,0.72181,105.0,2.3831775700934577,0.25023364485981303
2025-08-10,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-10,6L_W8 STOPE,64.0,5.91,0.37824,105.0,2.7803738317757007,0.2919392523364486
2025-08-11,3L_W23A STOPE,,,0.0,0.0,0.0,0.0
2025-08-11,3L_W23B STOPE,,4.8,0.0,0.0,0.0,0.0
2025-08-11,3L_W24B STOPE,,,0.0,0.0,0.0,0.0
2025-08-11,4L_W26 STOPE,228.0,4.37,0.99636,0.0,0.0,0.0
2025-08-11,5L_W11 STOPE,157.0,1.24,0.19468000000000002,0.0,0.0,0.0
2025-08-11,5L_W8 STOPE,68.0,3.65,0.24819999999999998,0.0,0.0,0.0
2025-08-11,6L_E1 STOPE,31.0,7.0,0.217,0.0,0.0,0.0
2025-08-11,6L_W1 STOPE,,,0.0,0.0,0.0,0.0
2025-08-11,6L_W13 STOPE,44.0,2.9,0.1276,0.0,0.0,0.0
2025-08-11,6L_W15_STOPE,20.0,1.17,0.023399999999999997,0.0,0.0,0.0
2025-08-11,6L_W18_STOPE,41.0,1.07,0.043870000000000006,0.0,0.0,0.0
2025-08-11,6L_W2 STOPE,183.0,6.05,1.1071499999999999,0.0,0.0,0.0
2025-08-11,6L_W3 STOPE,124.0,5.22,0.64728,0.0,0.0,0.0
2025-08-11,6L_W4 STOPE,,,0.0,0.0,0.0,0.0
2025-08-11,6L_W8 STOPE,30.0,4.96,0.14880000000000002,0.0,0.0,0.0
2025-08-12,3L_W23A STOPE,,,0.0,0.0,0.0,0.0
